0;04/01/2018;04/01/2018;. ;.;0;0;0;0;0;0;0;0;0
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpaaa;. ;.;1000;1
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpaaa;. ;.;1000;2
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpaaa;. ;.;1000;3
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpabb;. ;.;1000;1
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpabb;. ;.;1000;2
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpabb;. ;.;1000;3
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpacc;. ;.;1000;1
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpacc;. ;.;1000;2
0;04/01/2018;04/01/2018;. ;.;.;.;.;.;subpacc;. ;.;1000;3
